Master Category,Date,Description,Amount
Food/Drink,12/8/2009,12/08 Mini Bar Sf San Francisco Ca ,22.00
Cash/ATM,12/8/2009,ATM Withdrawal -12/08 Cs24356 759 Columbus Avstar Ne San Franciscoca 2200,42.00
Food/Drink,12/9/2009,12/09 Subway Belmont Store #Belmont Ca ,7.78
Shopping,12/9/2009,12/09 Paypal *Buy Com 402-935-7733Ca ,8.18
Cash/ATM,12/10/2009,ATM Withdrawal -12/10 Lk785092575 Ralston Avedairy Bellbelmontca 2200,62.75
Mortgage / Rent,12/10/2009,Rent Check # 354,"$1,350.00"
Shopping,12/11/2009,12/11 Apl*Itunes866-712-7753Ca ,2.99
Health,12/11/2009,12/11 Walgreen Companwalgreen Csan Franciscoca ,24.06
Food/Drink,12/11/2009,12/11 Stackssan Francisco Ca ,28.84
Food/Drink,12/11/2009,12/11 Chevys 2454 San Francisco Ca ,67.08
Cash/ATM,12/12/2009,ATM Withdrawal -12/12 2607Y 374 Golden Gate Ave San Francisco Ca 2200,60.00
Food/Drink,12/13/2009,12/13 Mcdonald'S F4547San Francisco Ca ,8.02
Auto/Transportation,12/13/2009,12/13 Chevron 00090030San Francisco Ca ,35.33
Contractors / Business Services,12/14/2009,12/14 Paypal *Wenzhouluch 402-935-7733Ca ,7.98
Groceries,12/14/2009,12/14 Nob Hill#628 Nob Hillredwood City Ca ,9.77
Shopping,12/14/2009,12/14 Paypal *Towerhobbie 402-935-7733Il ,25.78
Groceries,12/14/2009,12/14 Safewaystore Safewayssan Franciscoca ,52.59
Groceries,12/15/2009,12/15 Old County Deli Belmont Ca ,8.00
Groceries,12/15/2009,12/15 Safewaystore Safewayssan Franciscoca ,13.32
Food/Drink,12/16/2009,12/16 Quiznos Subs #4120Belmont Ca ,9.26
Payments to Non-Wells Fargo Credit Cards,12/16/2009,Credit-Capital One,60.00
Food/Drink,12/17/2009,12/17 Peets Coffee/Tea 11Q11San Francisco Ca ,1.85
Groceries,12/17/2009,12/17 Old County Deli Belmont Ca ,8.25
Groceries,12/17/2009,12/17 Super Sam Food/Super Sam San Franciscoca ,13.77
Auto/Transportation,12/17/2009,12/17 Kaiser Center Oakland Ca ,15.00
Food/Drink,12/17/2009,12/17 Marino Restaurant San Francisco Ca ,20.95
Entertainment,12/17/2009,12/17 Action Ticket 415-640-0600Ca ,200.00
Health,12/18/2009,12/18 Walgreen Companwalgreen Csan Franciscoca ,7.38
Health,12/19/2009,12/19 Walgreen Companwalgreen Csan Franciscoca ,7.93
Groceries,12/19/2009,12/19 Super Sam Food/Super Sam San Franciscoca ,22.50
Auto/Transportation,12/19/2009,12/19 Union 7642082552San Francisco Ca ,38.25
Cash/ATM,12/19/2009,ATM Withdrawal -12/19 9907A 286 King Street San Francisco Ca 2200,60.00
Shopping,12/20/2009,12/20 Apl*Itunes866-712-7753Ca ,7.99
Contractors / Business Services,12/21/2009,12/21 Fedex Kinko'S #0909 Oakland Ca ,13.58
Shopping,12/21/2009,12/21 Amazon.Comamzn.Com/Bill Wa ,127.30
Contractors / Business Services,12/22/2009,12/22 Fedex Kinko'S #0766 Emeryvilleca ,6.66
Food/Drink,12/22/2009,12/22 Mangarosa San Francisco Ca ,60.37
Contractors / Business Services,12/23/2009,12/23 Paypal *Dealextreme 4029357733Hk ,5.84
Groceries,12/23/2009,12/23 Grant And Green Marketsan Francisco Ca ,15.31
Contractors / Business Services,12/23/2009,12/23 Paypal *Crucialtech 402-935-7733Ca ,72.93
Shopping,12/24/2009,12/24 Cns Express Llccns Expressan Luis Obisca ,42.96
Contractors / Business Services,12/24/2009,12/24 Action Sports Int'L 800-251-4428Tx ,43.70
Groceries,12/24/2009,12/24 Apple Farm Bakery San Luis Obis Ca ,48.00
Home,12/24/2009,12/24 Forden Ssan Luis Obis Ca ,54.32
Bills/Utilities,12/24/2009,Household-Comcast Cable Co,96.00
Shopping,12/24/2009,12/24 Sou Best Buy #3Sou Best Bsanluis Obispca ,304.16
Auto/Transportation,12/26/2009,12/26 Lombards Autosounds Grover Beachca ,108.48
Auto/Transportation,12/27/2009,12/27 Shell Oil 57441083201 Atascaderoca ,33.64
Shopping,12/27/2009,12/27 Paypal *Barneyselec 402-935-7733Nj ,184.00
Groceries,12/28/2009,12/28 Super Sam Food/Super Sam San Franciscoca ,11.69
Shopping,12/29/2009,12/29 Amazon Mktplace Pmtsamzn.Com/Bill Wa ,7.33
Shopping,12/29/2009,12/29 Amazon Mktplace Pmtsamzn.Com/Bill Wa ,12.97
Bills/Utilities,12/29/2009,Household-Pacific Gas & El,23.87
Cash/ATM,12/29/2009,ATM Withdrawal -12/29 80891400547 Haight Stretoronadosan Franciscoca 2200,61.95
Auto/Transportation,12/30/2009,12/30 Fastrak Csc 877-2298655 Ca ,25.00
Entertainment,12/30/2009,12/30 Jiffy Tickets 415-827-0010Ca ,125.00
Entertainment,12/30/2009,12/30 Jiffy Tickets 415-827-0010Ca ,250.00
Shopping,12/31/2009,12/31 Amazon Mktplace Pmtsamzn.Com/Bill Wa ,5.97
Food/Drink,12/31/2009,12/31 People'S Cafe San Francisco Ca ,9.11
Food/Drink,12/31/2009,12/31 Flippers Gourmet Brgersan Francisco Ca ,21.00
Groceries,12/31/2009,12/31 Super Sam Food/Super Sam San Franciscoca ,47.01
Food/Drink,1/1/2010,Round Table Pizza,48.41
Groceries,1/2/2010,Super Sam Food/Super Sam 1,9.17
Groceries,1/2/2010,Bay Liquor/2077Bay Liquor1,9.84
Food/Drink,1/2/2010,Stacks1,22.54
Bills/Utilities,1/2/2010,Utilities/Telco-At&T Mobility,99.01
Food/Drink,1/3/2010,Mcdonald'S F45471,8.35
Food/Drink,1/3/2010,Marino Restaurant 1,23.60
Groceries,1/4/2010,Safewaystore Safeways1,36.40
Auto/Transportation,1/4/2010,Union 76 10028231San Carlosca,38.13
Shopping,1/5/2010,Amazon.Comamzn.Com/Bill Wa,29.69
Auto/Transportation,1/5/2010,Electric Green Showroosan Carlosca,49.15
Airlines / Transportation,1/5/2010,West Marine012West Marinsan Carlos,185.71
Contractors / Business Services,1/5/2010,San Francisco Marathon909-874-5480Ca,447.80
Groceries,1/6/2010,Nob Hill,9.58
Home,1/6/2010,Active *Kpsfhalf,43.60
Cash/ATM,1/6/2010,ATM Withdrawal - 01/06 P81240332 Goughlas Estrel1,62.25
Shopping,1/7/2010,Amazon Mktplace Pmtsamzn.Com/Bill Wa,13.11
Building Supply / Wholesale,1/7/2010,Sou The Home Desou The Hosan Carlos,46.92
Mortgage / Rent,1/7/2010,Rent Check # 355,"$1,350.00"
Auto/Transportation,1/8/2010,Union 76 10032522San Carlosca,38.84
Mortgage / Rent,1/8/2010,Uc Hastings Parking Ga1,200.00
Home,1/9/2010,City Lights 1,3.23
Groceries,1/10/2010,Super Sam Food/Super Sam 1,13.69
Airlines / Transportation,1/10/2010,Nnt Bart-Civic Nnt Bart-Csan Franciscony,19.00
Food/Drink,1/11/2010,Chipotle1174 San Carlosca,8.19
Airlines / Transportation,1/11/2010,West Marine012West Marinsan Carlos,19.00
Building Supply / Wholesale,1/11/2010,Sou The Home Desou The Hosan Carlos,29.74
Building Supply / Wholesale,1/11/2010,Industrial Hardware Susan Carlosca,35.47
Building Supply / Wholesale,1/12/2010,Sou The Home Desou The Hosan Carlos,5.45
Shopping,1/12/2010,Amazon Mktplace Pmtsamzn.Com/Bill Wa,8.32
Building Supply / Wholesale,1/12/2010,Sou The Home Desou The Hosan Carlos,20.42
Building Supply / Wholesale,1/13/2010,Sou The Home Desou The Hosan Carlos,8.86
Auto/Transportation,1/13/2010,Shell Oil 27441747303 1,36.56
Shopping,1/13/2010,Paypal *Office Lube 402-935-7733Ca,67.28
Shopping,1/14/2010,Apl*Itunes,2.99
Food/Drink,1/14/2010,Patxi'S Chicago Pizza 1,29.20
Groceries,1/15/2010,Super Sam Food/Super Sam 1,11.69
Building Supply / Wholesale,1/15/2010,Sou The Home Desou The Hoemeryville,32.78
Cash/ATM,1/15/2010,ATM Withdrawal - 01/150006A1266 Market St1,40.00
Shopping,1/16/2010,Paypal *Astraweb4029357733Sg,10.00
Credit Card/Loan Payments,1/16/2010,Credit-Capital One,60.00
Groceries,1/16/2010,Citizen Cake1,62.80
Groceries,1/18/2010,Safewaystore Safeways1,33.66
Food/Drink,1/18/2010,5 Romolo-Basque Hotel1,98.00
Shopping,1/19/2010,Apl*Itunes,0.99
Shopping,1/19/2010,Amazon Mktplace Pmtsamzn.Com/Bill Wa,2.99
Shopping,1/19/2010,Paypal *Princessjac 402-935-7733Ca,11.84
Food/Drink,1/20/2010,Old County Deli Belmont,8.00
Auto/Transportation,1/20/2010,Car Service Oakland,39.89
Home,1/20/2010,Amazon Prime,79.00
Groceries,1/21/2010,Nob Hill,9.01
Groceries,1/22/2010,Safewaystore Safeways1,9.62
Bills/Utilities,1/22/2010,Household-Pacific Gas & El,23.73
Food/Drink,1/23/2010,The Republic1,26.69
Groceries,1/24/2010,Safewaystore Safeways1,27.35
Cash/ATM,1/24/2010,ATM Withdrawal - 01/24 Cs24356 759 Columbus Avstar Ne 1,62.00
Auto/Transportation,1/25/2010,Union 76 00363226Hayward,35.84
Auto/Transportation,1/26/2010,Fastrak Csc,25.00
Food/Drink,1/27/2010,Subway00047761Belmont,7.78
Groceries,1/28/2010,Super Sam Food/Super Sam 1,14.22
Food/Drink,1/28/2010,Don Pisto'S San Fransicoca,29.09
Food/Drink,1/28/2010,Chevys 2454 1,39.50
Contractors / Business Services,1/28/2010,Cresco Equipment Rentaoakland,400.00
Bills/Utilities,1/29/2010,Microsoft *Xbox Livebill.Ms.Net Wa,6.25
Groceries,1/29/2010,Super Sam Food1,10.94
Bills/Utilities,1/29/2010,Microsoft *Xbox Livebill.Ms.Net Wa,25.00
Food/Drink,1/29/2010,Memphis Minnies 1,26.06
Checks Written,1/29/2010,Check # 356,63.00
Bills/Utilities,1/29/2010,Dri*Microsoftstudentorderfind.Com Mn,64.95
Food/Drink,1/30/2010,Double Decker 1,8.97
Food/Drink,1/31/2010,Round Table Pizza,20.41
Food/Drink,2/1/2010,Quiznos Subs,9.26
Groceries,2/1/2010,Super Sam Food/Super Sam 1,11.73
Groceries,2/1/2010,Safewaystore Safewaysbelmontca,17.65
Personal Care,2/1/2010,Supercuts,18.00
Auto/Transportation,2/1/2010,Union 76 00463232Belmont,37.61
Contractors / Business Services,2/2/2010,Mailbox 4U1,5.50
Postage / Delivery,2/2/2010,Fedex Kinko'S,40.30
Bills/Utilities,2/2/2010,Comcast California800-Comcast,95.30
Groceries,2/3/2010,Safewaystore Safeways1,50.78
Bills/Utilities,2/4/2010,Utilities/Telco-At&T Mobility,99.03
Mortgage / Rent,2/4/2010,Uc Hastings Parking Ga1,200.00
Office Supplies/Furniture,2/4/2010,Mwave.Com/Crossrider909-839-7600Ca,371.43
Groceries,2/6/2010,Safewaystore Safeways1,114.99
Food/Drink,2/8/2010,Sushi Monster Belmont,29.47
Mortgage / Rent,2/8/2010,Rent Check # 357,"$1,350.00"
Food/Drink,2/9/2010,Peets Coffee/Tea11Q111,1.85
Shopping,2/9/2010,Apl*Itunes,11.95
Groceries,2/9/2010,Safewaystore Safeways1,27.47
Auto/Transportation,2/9/2010,Union 76 10028231San Carlosca,36.93
Cash/ATM,2/10/2010,ATM Withdrawal - 02/100158A1045 Ralston Avebelmont,20.00
Food/Drink,2/11/2010,Una Mas Redwood Cityca,7.64
Shopping,2/11/2010,Paypal *1800Flowers 402-935-7733Ny,60.21
Food/Drink,2/13/2010,Cafe Divine 1,19.17
Auto/Transportation,2/13/2010,Fastrak Csc,25.00
Food/Drink,2/13/2010,Swig1,63.48
Groceries,2/14/2010,Arguello Supermarguello S1,25.85
Food/Drink,2/14/2010,Lers Ros Thai Nood1,30.05
Auto/Transportation,2/14/2010,Shell Oil 27441747303 1,34.39
Food/Drink,2/15/2010,Starbucks Usa00057802Oakland,1.85
Food/Drink,2/15/2010,Old County Deli Belmont,8.75
Food/Drink,2/16/2010,Una Mas Redwood Cityca,7.84
Contractors / Business Services,2/16/2010,Hostrocket.Com518-3713421 Ny,40.00
Food/Drink,2/17/2010,Gordo Taqueria - C1,6.62
Food/Drink,2/17/2010,King Chaun Restaurant San Carlosca,8.14
Auto/Transportation,2/17/2010,Union 76 100325711,35.17
Credit Card/Loan Payments,2/17/2010,Credit-Capital One,60.00
Shopping,2/18/2010,Apl*Itunes,2.99
Food/Drink,2/18/2010,Old County Deli Belmont,5.00
Groceries,2/18/2010,Safewaystore Safeways1,76.18
Shopping,2/19/2010,Amazon Mktplace Pmtsamzn.Com/Bill Wa,4.41
Groceries,2/19/2010,Super Sam Food/Super Sam 1,17.31
Food/Drink,2/20/2010,Flippers Gourmet Brger1,18.16
Food/Drink,2/20/2010,5 Romolo-Basque Hotel1,60.00
Groceries,2/21/2010,Super Sam Food/Super Sam 1,4.25
Food/Drink,2/21/2010,Stacks1,23.11
Auto/Transportation,2/22/2010,City Of San Francisco 1,6.00
Food/Drink,2/22/2010,Yeah Restaurantredwood,7.60
Groceries,2/22/2010,Super Sam Food/Super Sam 1,8.70
Building Supply / Wholesale,2/22/2010,Ginn Wall Co1,9.86
Food/Drink,2/23/2010,Subway00047761Belmont,7.85
Bills/Utilities,2/23/2010,Household-Pacific Gas & El,25.23
Payments Made Electronically,2/23/2010,Franchise Tax Bo Payments10022316521521 Pm Lawrence,97.00
Groceries,2/24/2010,Nob Hill,4.91
Groceries,2/24/2010,Super Sam Food/Super Sam 1,24.64
Auto/Transportation,2/24/2010,Shell Oil 27441747303 1,36.84
Food/Drink,2/25/2010,In-N-Out Burger Fairfield,6.64
Food/Drink,2/25/2010,Chipotle1174 San Carlosca,6.66
Auto/Transportation,2/25/2010,Chevron00090998Fairfield,20.42
Building Supply / Wholesale,2/25/2010,The Home Depot The Home Dsan Carlos,41.66
Auto/Transportation,2/25/2010,Cameron Park 76Cameron Pashingle Sprca,46.14
Auto/Transportation,2/26/2010,Fastrak Csc,25.00
Food/Drink,2/28/2010,Patxi'S Chicago Pizza 1,30.65
Auto/Transportation,2/28/2010,Chevron00090315Placerville,35.88
Auto/Transportation,3/1/2010,City Of San Francisco 1,3.00
Food/Drink,3/2/2010,Old County Deli Belmont,8.75
Bills/Utilities,3/2/2010,Comcast California800-Comcast,96.03
Credit Card/Loan Payments,3/2/2010,Credit-Capital One,129.76
Groceries,3/3/2010,Nob Hill,6.56
Groceries,3/3/2010,Super Sam Food/Super Sam 1,8.73
Food/Drink,3/4/2010,Old County Deli Belmont,7.50
Auto/Transportation,3/4/2010,Shell Oil 27441747303 1,36.22
Cash/ATM,3/4/2010,ATM Withdrawal - 03/04 808918201202 Sutter Strslider Din1,62.50
Bills/Utilities,3/4/2010,Utilities/Telco-At&T Mobility,99.03
Cash/ATM,3/5/2010,ATM Withdrawal - 03/05 Tx30376 46 Minna Ststar Ne 1,63.50
Mortgage / Rent,3/5/2010,Uc Hastings Parking Ga1,200.00
Food/Drink,3/6/2010,Sebo Sushi415-864-2122Ca,49.61
Groceries,3/7/2010,Super Sam Food Super Sam San Fransiscoca,13.99
Groceries,3/7/2010,Safewaystore Safeways1,69.18
Food/Drink,3/8/2010,The Patio Caferedwood Cityca,4.50
Food/Drink,3/8/2010,Quiznos Subs,9.26
Mortgage / Rent,3/8/2010,Rent Check # 358,"$1,350.00"
Food/Drink,3/9/2010,Old County Deli Belmont,8.25
Entertainment,3/9/2010,Tm *Ticketmaster Tickt415-421-8497Ca,72.15
Auto/Transportation,3/10/2010,Shell Service Sshell Serv1,0.90
Food/Drink,3/10/2010,Una Mas Redwood Cityca,9.37
Food/Drink,3/10/2010,Double Decker 1,9.74
Groceries,3/11/2010,Nob Hill,11.37
Groceries,3/11/2010,Super Sam Food Super Sam San Fransiscoca,11.69
Cash/ATM,3/12/2010,ATM Withdrawal - 03/12 P5751534 7Th Streetmr Smith-51,62.95
Food/Drink,3/13/2010,Mr. Smith 1,13.00
Credit Card/Loan Payments,3/13/2010,Credit-Capital One,60.00
Food/Drink,3/13/2010,Mr. Smith 1,67.00
Groceries,3/16/2010,Super Sam Food Super Sam San Fransiscoca,4.75
Food/Drink,3/16/2010,The Patio Caferedwood Cityca,10.11
Auto/Transportation,3/16/2010,Fastrak Csc,25.00
Food/Drink,3/17/2010,Classic Us101 Burgersbelmont,6.76
Auto/Transportation,3/17/2010,Shell Oil 27441747303 1,39.12
Cash/ATM,3/17/2010,ATM Withdrawal - 03/170008C 468 Columbus Ave1,60.00
Groceries,3/18/2010,Super Sam Foodsan Fransisco,12.98
Food/Drink,3/18/2010,Marino Restaurant 1,15.23
Food/Drink,3/19/2010,Flippers Gourmet Brger1,18.06
Shopping,3/20/2010,Apl*Itunes,0.99
Groceries,3/20/2010,Super Sam Food Super Sam San Fransiscoca,9.73
Airlines / Transportation,3/20/2010,National Cab Co-Taxi1,10.95
Food/Drink,3/20/2010,The Grove Chestnut1,28.84
Shopping,3/20/2010,The Sports Basethe Sports1,100.74
Food/Drink,3/21/2010,The Independent 1,17.00
Food/Drink,3/21/2010,The Independent 1,23.00
Food/Drink,3/22/2010,Peets Coffee/Tea11Q111,4.10
Food/Drink,3/22/2010,Subway00047761Belmont,7.85
Personal Care,3/22/2010,Supercuts,18.00
Food/Drink,3/22/2010,Pluto'S1 Marina Q231,21.35
Other Spending,3/22/2010,St Of Calif Dmv-Intern916-6578943,170.00
Food/Drink,3/23/2010,Old County Deli Belmont,7.25
Airlines / Transportation,3/23/2010,West Marine012West Marinsan Carlos,7.64
Food/Drink,3/23/2010,Peets Coffee/Tea11Q111,8.20
Auto/Transportation,3/23/2010,Union 76 10028231San Carlosca,38.11
Groceries,3/23/2010,Safewaystore Safeways1,54.26
Food/Drink,3/24/2010,Old County Deli Belmont,8.25
Shopping,3/24/2010,Kmartkmart Redwood City,21.83
Building Supply / Wholesale,3/24/2010,Industrial Hardware Susan Carlosca,44.85
Airlines / Transportation,3/25/2010,West Marine012West Marinsan Carlos,3.27
Food/Drink,3/25/2010,Classic Us101 Burgersbelmont,6.76
Bills/Utilities,3/25/2010,Household-Pacific Gas & El,21.89
Food/Drink,3/25/2010,Patxi'S Chicago Pizza 1,58.18
Other Spending,3/25/2010,Sn Mateo Cnty Sprior C650-5991686,281.03
Food/Drink,3/26/2010,Place Pigalle San Fransicoca,13.00
Bills/Utilities,3/26/2010,Comcast California800-Comcast,96.03
Checks Written,3/26/2010,Check # 359,360.00
Health,3/27/2010,Walgreen Companwalgreen C1,4.87
Food/Drink,3/27/2010,Pork Store Cafe 1,20.33
Entertainment,3/27/2010,Mangarosa 1,45.00
Groceries,3/28/2010,Super Sam Food Super Sam San Fransiscoca,29.11
Auto/Transportation,3/28/2010,Shell Oil 57444216006 1,37.88
Airlines / Transportation,3/29/2010,Bart-Civic Centbart-Civicsan Franciscony,9.00
Shopping,3/29/2010,Pacific Gateway News A1,10.02
Food/Drink,3/29/2010,Amoura Sfo1,16.50
Groceries,3/29/2010,Super Mercado Plaza Cabo San Lucmx,44.86
Cash/ATM,3/31/2010,"ATM Withdrawal - 03/31 I03931H S B C /H S B C Los Cabos, B.Mx",205.00
Groceries,4/1/2010,Super Aquacabo San Luca Mx,2.04
Groceries,4/1/2010,Super Aquacabo San Luca Mx,3.27
Food/Drink,4/2/2010,Cabo Wabo Cabo San Luca Mx,28.48
Food/Drink,4/5/2010,Snack Bar Mexico Df Mx,19.27
Food/Drink,4/6/2010,Wok Shop Cafe Inc 1,22.20
Airlines / Transportation,4/6/2010,Yellow Cab Of San Fran1,41.00
Shopping,4/7/2010,Apl*Itunes,0.99
Food/Drink,4/7/2010,Peets Coffee/Tea11Q111,4.10
Food/Drink,4/7/2010,Old County Deli Belmont,8.25
Food/Drink,4/7/2010,Pluto'S Sf Sunset 1,14.29
Mortgage / Rent,4/7/2010,Uc Hastings Parking Ga1,200.00
Food/Drink,4/8/2010,Classic Us101 Burgersbelmont,8.78
Groceries,4/8/2010,Safewaystore Safeways1,74.67
Mortgage / Rent,4/8/2010,Rent Check # 360,"$1,350.00"
Bills/Utilities,4/9/2010,Utilities/Telco-At&T Mobility,99.03
Food/Drink,4/10/2010,Abbey Tavern1,33.00
Food/Drink,4/10/2010,California Pizza148San Franciscca,46.31
Cash/ATM,4/11/2010,ATM Withdrawal - 04/11 2607Z 374 Golden Gate Ave 1,40.00
Food/Drink,4/13/2010,Old County Deli Belmont,8.00
Auto/Transportation,4/13/2010,Union 76 10028231San Carlosca,37.18
Credit Card/Loan Payments,4/13/2010,Credit-Capital One,60.00
Food/Drink,4/14/2010,King Chaun Restaurant San Carlosca,9.65
Groceries,4/14/2010,Safewaystore Safeways1,25.70
Groceries,4/15/2010,Super Sam Food Super Sam San Fransiscoca,10.94
Checks Written,4/15/2010,Check # 361,70.00
Groceries,4/16/2010,Super Sam Food Super Sam San Fransiscoca,2.44
Food/Drink,4/16/2010,Kebabs Of Hayes Valley1,25.34
Shopping,4/16/2010,Best Buy,93.04
Groceries,4/17/2010,Super Sam Food Super Sam San Fransiscoca,11.69
Groceries,4/17/2010,Super Sam Food Super Sam San Fransiscoca,15.32
Food/Drink,4/18/2010,Mcdonald'S F22995 1,9.25
Groceries,4/19/2010,Nob Hill,9.08
Groceries,4/19/2010,Safewaystore Safeways1,50.03
Auto/Transportation,4/20/2010,Union 76 00463232Belmont,38.02
Food/Drink,4/21/2010,Classic Us101 Burgersbelmont,6.76
Cash/ATM,4/21/2010,ATM Withdrawal - 04/210276A 302716Th St1,60.00
Bills/Utilities,4/22/2010,Microsoft *Xbox Livebill.Ms.Net Wa,19.99
Airlines / Transportation,4/23/2010,Bart-19Th Streebart-19Th Oaklandny,3.00
Airlines / Transportation,4/23/2010,Bart-Civic Centbart-Civicsan Franciscony,4.00
Groceries,4/24/2010,Super Sam Food Super Sam San Fransiscoca,11.69
Food/Drink,4/24/2010,Kens Kitchen Qps1,20.40
Food/Drink,4/24/2010,Stacks1,21.85
Shopping,4/25/2010,Apl*Itunes,4.99
Groceries,4/25/2010,Arguello Supermarguello S1,43.68
Groceries,4/26/2010,Safewaystore Safewaysbelmontca,17.33
Cash/ATM,4/26/2010,ATM Withdrawal - 04/26 P81240332 Goughlas Estrel1,62.25
Bills/Utilities,4/26/2010,Comcast California800-Comcast,96.03
Bills/Utilities,4/27/2010,Household-Pacific Gas & El,19.04
Building Supply / Wholesale,4/27/2010,The Home Depot The Home Dsan Carlos,23.98
Auto/Transportation,4/27/2010,Fastrak Cscqps,40.00
Auto/Transportation,4/27/2010,Union 76 10032522San Carlosca,40.72
Groceries,4/29/2010,Nob Hill,8.67
Cash/ATM,4/30/2010,ATM Withdrawal - 04/30 P109554 536 A Hayes St Moishe'S P1,62.25
Groceries,5/1/2010,Super Sam Food Super Sam San Fransiscoca,11.89
Cash/ATM,5/2/2010,ATM Withdrawal - 05/02 P81240332 Goughlas Estrel1,102.25
Mortgage / Rent,5/2/2010,Uc Hastings Parking Ga1,200.00
Auto/Transportation,5/3/2010,Union 76 00463232Belmont,38.30
Shopping,5/4/2010,Apl*Itunes,1.99
Bills/Utilities,5/4/2010,Utilities/Telco-At&T Mobility,99.73
Airlines / Transportation,5/6/2010,Bart-Civic Centbart-Civicsan Franciscony,16.00
Food/Drink,5/6/2010,Mission Bar & Grill 1,33.24
Food/Drink,5/6/2010,Las Margaritas Restaur1,56.78
Airlines / Transportation,5/7/2010,Airport Terminaairport Teeast Bostonma,10.00
Food/Drink,5/8/2010,Aramark Fenway Park Bostonma,33.00
Food/Drink,5/9/2010,Dunkin,1.90
Shopping,5/9/2010,Bostonian Society - Fabostonma,19.13
Food/Drink,5/9/2010,Round Table Pizza,23.74
Food/Drink,5/9/2010,Todd English B10328516East Boston Ma,72.00
Groceries,5/10/2010,Super Sam Food Super Sam San Fransiscoca,2.46
Food/Drink,5/10/2010,Old County Deli Belmont,8.25
Auto/Transportation,5/10/2010,Shell Oil 57444216204 1,39.42
Food/Drink,5/11/2010,Classic Us101 Burgersbelmont,7.86
Groceries,5/11/2010,Safewaystore Safeways1,82.45
Food/Drink,5/12/2010,Pluto'S Sf Sunset 1,24.42
Shopping,5/12/2010,Office Lube Thousand Oaks,39.98
Food/Drink,5/13/2010,Old County Deli Belmont,9.50
Groceries,5/13/2010,Super Sam Food Super Sam San Fransiscoca,11.69
Credit Card/Loan Payments,5/13/2010,Credit-Capital One,100.00
Mortgage / Rent,5/13/2010,Rent Check # 362,"$1,400.00"
Food/Drink,5/14/2010,At&T Park Concess 1,29.75
Food/Drink,5/15/2010,Gordo Taqueria - C1,14.39
Auto/Transportation,5/15/2010,Union 76 100975171,41.00
Groceries,5/16/2010,Super Sam Food Super Sam San Fransiscoca,7.07
Food/Drink,5/16/2010,Round Table Pizza,38.00
Groceries,5/17/2010,Nob Hill,8.22
Food/Drink,5/18/2010,Old County Deli Belmont,8.25
Food/Drink,5/19/2010,Baja Fresh,9.92
Groceries,5/19/2010,Coit Liquor/585Coit Liquo1,12.94
Groceries,5/20/2010,Super Sam Foodsan Fransisco,10.94
Auto/Transportation,5/21/2010,Shell Service Sshell Serv1,38.29
Groceries,5/22/2010,Grant And Green Market1,10.80
Auto/Transportation,5/22/2010,Embarcadero Ctr Parkin1,15.00
Groceries,5/23/2010,Super Sam Food Super Sam San Fransiscoca,10.23
Food/Drink,5/23/2010,Ace Wasabi'S Rock N Ro1,14.80
Food/Drink,5/24/2010,Classic Us101 Burgersbelmont,6.76
Bills/Utilities,5/25/2010,Household-Pacific Gas & El,21.42
Auto/Transportation,5/25/2010,Fastrak Cscqps,40.00
Groceries,5/25/2010,Safewaystore Safeways1,45.91
Bills/Utilities,5/26/2010,Comcast California800-Comcast,96.57
Building Supply / Wholesale,5/27/2010,The Home Depot The Home Demeryville,17.36
Auto/Transportation,5/27/2010,Car Service Oakland,36.77
Cash/ATM,5/27/2010,ATM Withdrawal - 05/27 Icad0071*College Avenuebank Of Amoaklandca,63.00
Groceries,5/29/2010,Super Sam Food Super Sam San Fransiscoca,11.69
Food/Drink,5/29/2010,Stacks1,44.58
Cash/ATM,5/30/2010,ATM Withdrawal - 05/301176T 4Th & Brannan 1,200.00
Groceries,5/31/2010,Safewaystore Safeways1,34.39
Shopping,6/2/2010,Xtranormal5146641061Cd,2.00
Postage / Delivery,6/2/2010,Usps0506000101Usps05060Belmontca,10.48
Auto/Transportation,6/2/2010,Union 76 00463232Belmont,39.57
Mortgage / Rent,6/2/2010,Uc Hastings Parking Ga1,200.00
Shopping,6/3/2010,Radio Shackradio Shacbelmontca,42.60
Building Supply / Wholesale,6/3/2010,The Home Depot The Home Dsan Carlos,63.71
Bills/Utilities,6/4/2010,Utilities/Telco-At&T Mobility,109.14
Groceries,6/5/2010,Super Sam Food Super Sam San Fransiscoca,11.94
Food/Drink,6/5/2010,Squat And Gobble,25.79
Food/Drink,6/5/2010,Round Table Pizza,30.37
Cash/ATM,6/5/2010,ATM Withdrawal - 06/05 80890880199 Valencia Stzeitgeist 1,63.95
Auto/Transportation,6/8/2010,Chevron002037211,37.92
Auto/Transportation,6/8/2010,Pepboys Store,43.89
Mortgage / Rent,6/8/2010,Rent Check # 363,"$1,350.00"
Food/Drink,6/9/2010,Peets Coffee/Tea11Q111,4.20
Groceries,6/9/2010,Super Sam Food Super Sam San Fransiscoca,6.09
Groceries,6/9/2010,Nob Hill,8.34
Groceries,6/9/2010,Safewaystore Safeways1,30.07
Food/Drink,6/10/2010,Subway00047761Belmont,7.84
Postage / Delivery,6/11/2010,Fedex/Kinko'S,12.80
Auto/Transportation,6/11/2010,Fastrak Csc,40.00
Cash/ATM,6/11/2010,ATM Withdrawal - 06/11 P81240332 Goughlas Estrel1,62.25
Groceries,6/12/2010,Super Sam Food Super Sam San Fransiscoca,25.91
